,cap_grade,delay_grade,overall_grade_avg_of_avgs,overall_grade_direct,speed_grade,time
"('2012-10-01 11:55:00', '2012-10-01 12:00:00')",8.382113821138212,5.3703703703703702,7.9356017263876346,5.4524093986459574,10.054320987654322,11:57:30
"('2012-10-01 12:00:00', '2012-10-01 12:05:00')",8.9300411522633745,5.4472727272727273,7.887676055083463,5.4892929292929296,9.2857142857142865,12:02:30
"('2012-10-01 12:05:00', '2012-10-01 12:10:00')",8.8242894056847554,5.3325499412455937,7.8598145898449232,5.5468076772424597,9.4226044226044223,12:07:30
"('2012-10-01 12:10:00', '2012-10-01 12:15:00')",8.6251638269986888,5.41271676300578,7.9070992251438694,5.3868978805394994,9.683417085427136,12:12:30
"('2012-10-01 12:15:00', '2012-10-01 12:20:00')",8.6679894179894177,5.3665521191294383,7.8429402377734094,5.4528445971744937,9.4942791762013723,12:17:30
"('2012-10-01 12:20:00', '2012-10-01 12:25:00')",9.0458221024258751,5.3113983548766157,7.9468775931924576,5.5456325891108502,9.4834123222748818,12:22:30
"('2012-10-01 12:25:00', '2012-10-01 12:30:00')",8.7627118644067803,5.4820809248554916,7.7106298544852736,5.4959537572254336,8.887096774193548,12:27:30
"('2012-10-01 12:30:00', '2012-10-01 12:35:00')",9.1005221932114875,5.5011210762331837,7.9734835362980716,5.5220478325859492,9.3188073394495419,12:32:30
"('2012-10-01 12:35:00', '2012-10-01 12:40:00')",8.8460543337645543,5.4390519187358919,7.8436432138406422,5.4066967644845745,9.2458233890214796,12:37:30
"('2012-10-01 12:40:00', '2012-10-01 12:45:00')",8.9250985545335091,5.5919075144508668,7.8730479454017592,5.535645472061657,9.1021377672209027,12:42:30
"('2012-10-01 12:45:00', '2012-10-01 12:50:00')",8.9401041666666661,5.4499424626006903,7.8774176214264484,5.504411200613732,9.2422062350119898,12:47:30
"('2012-10-01 12:50:00', '2012-10-01 12:55:00')",8.8978779840848805,5.3402298850574716,7.9127026230474513,5.533716475095785,9.5,12:52:30
"('2012-10-01 12:55:00', '2012-10-01 13:00:00')",8.9826897470039953,5.3820093457943923,7.9259881329736119,5.4147196261682247,9.4132653061224492,12:57:30
"('2012-10-01 13:00:00', '2012-10-01 13:05:00')",8.9712041884816749,5.4137529137529139,7.8738720116497349,5.6091686091686093,9.2366589327146169,13:02:30
"('2012-10-01 13:05:00', '2012-10-01 13:10:00')",8.7908163265306118,5.3565714285714288,7.7578594104308394,5.4552380952380952,9.1261904761904766,13:07:30
"('2012-10-01 13:10:00', '2012-10-01 13:15:00')",8.76747311827957,5.5177304964539005,7.8360870862812488,5.4267139479905433,9.2230576441102752,13:12:30
"('2012-10-01 13:15:00', '2012-10-01 13:20:00')",8.5862533692722369,5.4809976247030878,7.815232369754515,5.4006334125098974,9.3784461152882201,13:17:30
"('2012-10-01 13:20:00', '2012-10-01 13:25:00')",8.5337001375515822,5.4669867947178874,7.7665688467042031,5.398159263705482,9.2990196078431371,13:22:30
"('2012-10-01 13:25:00', '2012-10-01 13:30:00')",9.1827411167512683,5.3986710963455149,8.0419968421165979,5.4876338132152087,9.5445783132530124,13:27:30
"('2012-10-01 13:30:00', '2012-10-01 13:35:00')",8.6742323097463281,5.5473684210526315,7.808202749865317,5.3754385964912279,9.2030075187969924,13:32:30
"('2012-10-01 13:35:00', '2012-10-01 13:40:00')",8.7178477690288716,5.7020023557126027,7.9700627629975607,5.6415390655673345,9.4903381642512077,13:37:30
"('2012-10-01 13:40:00', '2012-10-01 13:45:00')",8.9048877146631433,5.5119331742243434,7.7531069629624954,5.5127287191726335,8.8424999999999994,13:42:30
"('2012-10-01 13:45:00', '2012-10-01 13:50:00')",8.9288590604026847,5.3766081871345026,7.8762834440381013,5.4077972709551654,9.3233830845771148,13:47:30
"('2012-10-01 13:50:00', '2012-10-01 13:55:00')",8.8209790209790206,5.397619047619048,7.8815827298878141,5.4087301587301591,9.4261501210653744,13:52:30
"('2012-10-01 13:55:00', '2012-10-01 14:00:00')",8.6149584487534625,5.5030084235860413,7.8857357928895384,5.4035298836742882,9.5392405063291132,13:57:30
"('2012-10-01 14:00:00', '2012-10-01 14:05:00')",8.7040540540540547,5.4261294261294264,7.6993615715837933,5.5071225071225074,8.9679012345679006,14:02:30
"('2012-10-01 14:05:00', '2012-10-01 14:10:00')",8.8953020134228193,5.3858173076923075,7.8044436198588896,5.5693108974358978,9.1322115384615383,14:07:30
"('2012-10-01 14:10:00', '2012-10-01 14:15:00')",8.6019830028328617,5.4075887392900857,7.8564244115534194,5.4190126478988168,9.5597014925373127,14:12:30
"('2012-10-01 14:15:00', '2012-10-01 14:20:00')",8.7662517289073314,5.3886883273164861,7.8935374759539867,5.476133172884075,9.5256723716381426,14:17:30
"('2012-10-01 14:20:00', '2012-10-01 14:25:00')",9.1004184100418417,5.4587945879458797,7.9396405786172659,5.6514965149651495,9.2597087378640772,14:22:30
"('2012-10-01 14:25:00', '2012-10-01 14:30:00')",8.7661064425770316,5.4085365853658534,7.8772379116711972,5.4386178861788617,9.4570707070707076,14:27:30
"('2012-10-01 14:30:00', '2012-10-01 14:35:00')",8.6657496561210454,5.3771289537712894,7.7604857633651276,5.3990267639902676,9.2385786802030463,14:32:30
"('2012-10-01 14:35:00', '2012-10-01 14:40:00')",8.7849002849002851,5.4009962640099625,7.8614642631705829,5.4977168949771693,9.3984962406015029,14:37:30
"('2012-10-01 14:40:00', '2012-10-01 14:45:00')",8.6795977011494259,5.2994923857868024,7.740381292222426,5.522419627749577,9.2420537897310506,14:42:30
"('2012-10-01 14:45:00', '2012-10-01 14:50:00')",8.7240437158469941,5.3592233009708741,7.8225669930273396,5.5813106796116507,9.3844339622641506,14:47:30
"('2012-10-01 14:50:00', '2012-10-01 14:55:00')",8.7653791130185983,5.5415617128463479,7.9693169756250155,5.6015952980688501,9.6010101010101003,14:52:30
"('2012-10-01 14:55:00', '2012-10-01 15:00:00')",8.4505169867060559,5.4585492227979273,7.8640610308736214,5.483160621761658,9.6831168831168828,14:57:30
"('2012-10-01 15:00:00', '2012-10-01 15:05:00')",8.6560773480662991,5.5170731707317069,7.8910501729326681,5.5398373983739839,9.5,15:02:30
"('2012-10-01 15:05:00', '2012-10-01 15:10:00')",9.0014104372355437,5.2807017543859649,7.9239866357858491,5.5760233918128659,9.4898477157360404,15:07:30
"('2012-10-01 15:10:00', '2012-10-01 15:15:00')",8.6526162790697683,5.4259501965923986,7.8789020035152957,5.6312800349497598,9.5581395348837201,15:12:30
"('2012-10-01 15:15:00', '2012-10-01 15:20:00')",8.7213352685050793,5.5577427821522312,8.0475714714312243,5.8057742782152229,9.8636363636363633,15:17:30
"('2012-10-01 15:20:00', '2012-10-01 15:25:00')",8.6198581560283696,5.3962264150943398,7.9904361505732409,5.619706498951782,9.9552238805970141,15:22:30
"('2012-10-01 15:25:00', '2012-10-01 15:30:00')",8.6623563218390807,5.2065906210392905,7.8412862605564344,5.4921841994085341,9.6549118387909321,15:27:30
"('2012-10-01 15:30:00', '2012-10-01 15:35:00')",8.7161803713527846,5.3460166468489891,7.8370753814717888,5.5208085612366231,9.4490291262135919,15:32:30
"('2012-10-01 15:35:00', '2012-10-01 15:40:00')",8.6747967479674788,5.2734939759036141,7.6486365904967135,5.443373493975904,8.9976190476190467,15:37:30
"('2012-10-01 15:40:00', '2012-10-01 15:45:00')",8.7968545216251641,5.303529411764706,7.6611871678277765,5.4917647058823533,8.8831775700934585,15:42:30
"('2012-10-01 15:45:00', '2012-10-01 15:50:00')",8.5714285714285712,5.2771084337349397,7.8051986095643073,5.5204819277108435,9.5670588235294112,15:47:30
"('2012-10-01 15:50:00', '2012-10-01 15:55:00')",8.7984293193717278,5.4464075382803294,8.0083433647890114,5.6360424028268552,9.7801932367149753,15:52:30
"('2012-10-01 15:55:00', '2012-10-01 16:00:00')",8.6632258064516137,5.25,7.6939480244768461,5.3759512937595133,9.1686182669789229,15:57:30
"('2012-10-01 16:00:00', '2012-10-01 16:05:00')",8.2652329749103934,5.2523961661341856,7.5620478511538103,5.2555910543130988,9.1685144124168509,16:02:30
"('2012-10-01 16:05:00', '2012-10-01 16:10:00')",8.5187878787878795,5.1805251641137859,7.7242046712584838,5.2822757111597376,9.4733009708737868,16:07:30
"('2012-10-01 16:10:00', '2012-10-01 16:15:00')",8.3677884615384617,5.2107526881720432,7.6515626462337769,5.2731182795698928,9.376146788990825,16:12:30
"('2012-10-01 16:15:00', '2012-10-01 16:20:00')",8.2415669205658322,5.1660117878192535,7.4502055610228766,5.1689587426326131,8.9430379746835449,16:17:30
"('2012-10-01 16:20:00', '2012-10-01 16:25:00')",8.5938189845474611,5.2654867256637168,7.7648427940919857,5.4192068174369057,9.4352226720647767,16:22:30
"('2012-10-01 16:25:00', '2012-10-01 16:30:00')",8.3187633262260121,5.096207215541166,7.4796568472557254,5.0496453900709222,9.0239999999999991,16:27:30
"('2012-10-01 16:30:00', '2012-10-01 16:35:00')",8.3626262626262626,5.1725703905540419,7.6371201755169595,5.3463518013926734,9.3761638733705777,16:32:30
"('2012-10-01 16:35:00', '2012-10-01 16:40:00')",8.6134969325153374,5.3378378378378377,7.7028793803798976,5.352252252252252,9.1573033707865168,16:37:30
"('2012-10-01 16:40:00', '2012-10-01 16:45:00')",8.298582995951417,5.045372050816697,7.423802009053424,5.111917725347852,8.9274509803921571,16:42:30
"('2012-10-01 16:45:00', '2012-10-01 16:50:00')",8.41530612244898,5.0755760368663596,7.6516324369434967,5.3539170506912441,9.4640151515151523,16:47:30
"('2012-10-01 16:50:00', '2012-10-01 16:55:00')",8.5961352657004824,5.2853448275862069,7.7091272442103174,5.3540229885057471,9.2459016393442628,16:52:30
