route_id,route_long_name
77,"Zürich, Hegibachplatz to Zürich, Botanischer Garten"
80,"Zürich, Goldackerweg to Zürich, In der Ey"
80,"Zürich, Rautistrasse to Zürich, Untermoosstrasse"
80,"Zürich, Bristenstrasse to Zürich, Lindenplatz"
80,"Zürich, Bahnhof Altstetten to Zürich, Bristenstrasse"
80,"Zürich, Lindenplatz to Zürich, Rautistrasse"
80,"Zürich, Albisriederdörfli to Zürich, Albisrieden"
80,"Zürich, Untermoosstrasse to Zürich, Albisriederdörfli"
80,"Zürich, Albisrieden to Zürich, Goldackerweg"
80,"Zürich, Meierhofplatz to Zürich, Hönggerberg"
80,"Zürich, Zwielplatz to Zürich, Wartau"
80,"Zürich, Mötteliweg to Zürich, Glaubtenstrasse"
80,"Zürich, Bahnhof Oerlikon Nord to Zürich, Max-Bill-Platz"
80,"Zürich, In der Ey to Zürich, Triemli"
80,"Zürich, Triemli to Zürich, Triemlispital"
80,"Zürich, Birchstrasse to Zürich, Chaletweg"
80,"Zürich, Max-Bill-Platz to Zürich, Birchstrasse"
80,"Zürich, Chaletweg to Zürich, Mötteliweg"
80,"Zürich, Lerchenhalde to Zürich, ETH Hönggerberg"
80,"Zürich, Glaubtenstrasse to Zürich, Schumacherweg"
80,"Zürich, Schumacherweg to Zürich, Lerchenhalde"
80,"Zürich, Hönggerberg to Zürich, Meierhofplatz"
80,"Zürich, ETH Hönggerberg to Zürich, Hönggerberg"
80,"Zürich, Meierhofplatz to Zürich, Zwielplatz"
80,"Zürich, Bahnhof Altstetten to Zürich, Tüffenwies"
80,"Zürich, Winzerstrasse Süd to Zürich, Hohenklingensteig"
80,"Zürich, Wartau to Zürich, Winzerstrasse"
80,"Zürich, Winzerstrasse to Zürich, Winzerstrasse Süd"
29,"Zürich, Hürstholz to Zürich, Staudenbühl"
29,"Zürich, Buhnstrasse to Zürich, Friedhof Schwandenholz"
29,"Zürich, Seebacherplatz to Zürich, Hertensteinstrasse"
29,"Zürich, Seebach to Zürich, Seebacherplatz"
29,"Zürich, Hertensteinstrasse to Zürich, Buhnstrasse"
29,"Zürich, Staudenbühl to Zürich, Hürstholz"
29,"Zürich, Friedhof Schwandenholz to Zürich, Staudenbühl"
29,"Zürich, Hürstholz to Zürich, Glaubtenstrasse"
29,"Zürich, Glaubtenstrasse to Zürich, Hürstholz"
29,"Zürich, Hertensteinstrasse to Zürich, Seebacherplatz"
29,"Zürich, Friedhof Schwandenholz to Zürich, Buhnstrasse"
29,"Zürich, Staudenbühl to Zürich, Friedhof Schwandenholz"
29,"Zürich, Buhnstrasse to Zürich, Hertensteinstrasse"
29,"Zürich, Seebacherplatz to Zürich, Seebach"
35,"Zürich, Dunkelhölzli to Zürich, Loogarten"
35,"Zürich, Neeserweg to Zürich, Feusisbergli"
35,"Zürich, Lindenplatz to Zürich, Farbhof"
35,"Zürich, Farbhof to Zürich, Neeserweg"
35,"Zürich, Solidapark to Zürich, Lindenplatz"
35,"Zürich, Am Suteracher to Zürich, Loogarten"
35,"Zürich, Feusisbergli to Zürich, Am Suteracher"
35,"Zürich, Loogarten to Zürich, Dunkelhölzli"
35,"Zürich, Salzweg to Zürich, Rautihalde"
35,"Zürich, Dunkelhölzli to Zürich, Salzweg"
35,"Zürich, Rautihalde to Zürich, Schulhaus Buchlern"
35,"Zürich, Schulhaus Buchlern to Zürich, Friedhof Eichbühl"
35,"Zürich, Schulhaus Buchlern to Zürich, Rautihalde"
747,"Ebmatingen to Ebmatingen, Benkelsteg"
747,"Maur, Platten to Maur, Dorf"
747,"Ebmatingen to Ebmatingen, Looren"
747,"Maur, Kirche to Maur, See"
747,"Ebmatingen, Looren to Ebmatingen, Benkelsteg"
747,"Ebmatingen, Benkelsteg to Maur, Platten"
747,"Binz bei Maur, Post to Binz bei Maur, Fridlimatt"
747,"Maur, Platten to Ebmatingen, Benkelsteg"
747,"Maur, Kirche to Maur, Dorf"
747,"Maur, See to Maur, Kirche"
747,"Maur, Dorf to Maur, Platten"
747,"Ebmatingen to Ebmatingen, Leeacherstrasse"
747,"Ebmatingen, Benkelsteg to Ebmatingen"
747,"Ebmatingen, Leeacherstrasse to Binz bei Maur, Post"
747,"Zürich, Glockenacker to Zürich, Loorenstrasse"
747,"Pfaffhausen, Müseren to Zürich, Friedhof Witikon"
747,"Binz bei Maur, Fridlimatt to Pfaffhausen, Müseren"
747,"Zürich, Friedhof Witikon to Zürich, Glockenacker"
747,"Zürich, Carl-Spitteler-Strasse to Zürich, Klusplatz"
747,"Zürich, Loorenstrasse to Zürich, Carl-Spitteler-Strasse"
747,"Ebmatingen, Benkelsteg to Ebmatingen, Looren"
747,"Ebmatingen, Looren to Ebmatingen"
162,"Adliswil, Ahornweg to Adliswil, Hofackerstrasse"
162,"Adliswil, Ahornweg to Adliswil, Hofackerstrasse"
162,"Kilchberg ZH,Schulhaus Dorfstr to Kilchberg ZH, Schwelle"
162,"Kilchberg ZH,Schulhaus Dorfstr to Kilchberg ZH, Schwelle"
10,"Zürich, Bahnhof Oerlikon Ost to Zürich, Sternen Oerlikon"
10,"Zürich, Bahnhofplatz/HB to Zürich, Central"
10,"Zürich, Central to Zürich, Haldenegg"
10,"Zürich, Haldenegg to Zürich, ETH/Universitätsspital"
10,"Zürich, ETH/Universitätsspital to Zürich, Haldenbach"
10,"Zürich, Haldenbach to Zürich, Winkelriedstrasse"
10,"Zürich, Winkelriedstrasse to Zürich, Seilbahn Rigiblick"
10,"Zürich, Seilbahn Rigiblick to Zürich, Kinkelstrasse"
10,"Zürich, Kinkelstrasse to Zürich, Letzistrasse"
10,"Zürich, Letzistrasse to Zürich, Langmauerstrasse"
10,"Zürich, Langmauerstrasse to Zürich, Universität Irchel"
10,"Zürich, Universität Irchel to Zürich, Milchbuck"
10,"Zürich, Milchbuck to Zürich, Hirschwiesenstrasse"
10,"Zürich, Hirschwiesenstrasse to Zürich, Berninaplatz"
10,"Zürich, Berninaplatz to Zürich, Salersteig"
10,"Zürich, Salersteig to Zürich, Sternen Oerlikon"
10,"Zürich, Sternen Oerlikon to Zürich, Bahnhof Oerlikon Ost"
10,"Zürich, Bahnhof Oerlikon Ost to Zürich, Leutschenbach"
10,"Zürich, Leutschenbach to Zürich, Oerlikerhus"
10,"Zürich, Oerlikerhus to Glattpark"
10,"Glattbrugg, Lindberghplatz to Glattbrugg, Bahnhof"
10,"Glattbrugg, Bahnhof to Rümlang, Bäuler"
10,"Rümlang, Bäuler to Glattbrugg, Unterriet"
10,"Glattbrugg, Unterriet to Kloten Balsberg, Bahnhof"
10,"Kloten Balsberg, Bahnhof to Zürich Flughafen, Bahnhof"
10,"Zürich Flughafen, Bahnhof to Zürich Flughafen, Fracht"
10,"Zürich, Sternen Oerlikon to Zürich, Bahnhof Oerlikon"
80,"Zürich, Winzerhalde to Zürich, Tüffenwies"
